wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,comb,down_uncorrelated,5,0,2.5,50,70,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.012264676851788208"
L,comb,down_uncorrelated,5,0,2.5,70,100,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.008549782671232329"
L,comb,down_uncorrelated,5,0,2.5,100,140,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.0032549979095112536"
L,comb,down_uncorrelated,5,0,2.5,140,200,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.0033953430904102226"
L,comb,down_uncorrelated,5,0,2.5,200,300,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.00491960475654118"
L,comb,down_uncorrelated,5,0,2.5,300,600,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.017241863064788705"
L,comb,down_uncorrelated,5,0,2.5,600,1000,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.012866317744324089"
L,comb,down_uncorrelated,4,0,2.5,20,30,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.022694626151001228"
L,comb,down_uncorrelated,4,0,2.5,30,50,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.031029350450681444"
L,comb,down_uncorrelated,4,0,2.5,50,70,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.030661692129470522"
L,comb,down_uncorrelated,4,0,2.5,70,100,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.02137445667808082"
L,comb,down_uncorrelated,4,0,2.5,100,140,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.008137494773778134"
L,comb,down_uncorrelated,4,0,2.5,140,200,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.008488357726025556"
L,comb,down_uncorrelated,4,0,2.5,200,300,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.012299011891352948"
L,comb,down_uncorrelated,4,0,2.5,300,600,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.04310465766197176"
L,comb,down_uncorrelated,4,0,2.5,600,1000,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.03216579436081022"
L,comb,up,5,0,2.5,20,30,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.020184220344107058"
L,comb,up,5,0,2.5,30,50,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.018448267788136054"
L,comb,up,5,0,2.5,50,70,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.015449727612340033"
L,comb,up,5,0,2.5,70,100,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.009610447112164458"
L,comb,up,5,0,2.5,100,140,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.0038660697147981384"
L,comb,up,5,0,2.5,140,200,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.004333751655131663"
L,comb,up,5,0,2.5,200,300,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.006267771052845679"
L,comb,up,5,0,2.5,300,600,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.08225422864907203"
L,comb,up,5,0,2.5,600,1000,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.05105094550986124"
L,comb,up,4,0,2.5,20,30,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.05046055086026764"
L,comb,up,4,0,2.5,30,50,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.04612066947034013"
L,comb,up,4,0,2.5,50,70,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.038624319030850084"
L,comb,up,4,0,2.5,70,100,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.024026117780411145"
L,comb,up,4,0,2.5,100,140,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.009665174286995346"
L,comb,up,4,0,2.5,140,200,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.010834379137829156"
L,comb,up,4,0,2.5,200,300,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.015669427632114197"
L,comb,up,4,0,2.5,300,600,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.2056355716226801"
L,comb,up,4,0,2.5,600,1000,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.12762736377465309"
L,comb,up_correlated,5,0,2.5,20,30,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.018027628294317366"
L,comb,up_correlated,5,0,2.5,30,50,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.013648710198410166"
L,comb,up_correlated,5,0,2.5,50,70,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.009395306541923606"
L,comb,up_correlated,5,0,2.5,70,100,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.004388839250918808"
L,comb,up_correlated,5,0,2.5,100,140,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.002086021008704546"
L,comb,up_correlated,5,0,2.5,140,200,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.00269314847469648"
L,comb,up_correlated,5,0,2.5,200,300,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.003883612108631298"
L,comb,up_correlated,5,0,2.5,300,600,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.08042683811209349"
L,comb,up_correlated,5,0,2.5,600,1000,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.04940300502148541"
L,comb,up_correlated,4,0,2.5,20,30,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.045069070735793415"
L,comb,up_correlated,4,0,2.5,30,50,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.034121775496025415"
L,comb,up_correlated,4,0,2.5,50,70,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.023488266354809016"
L,comb,up_correlated,4,0,2.5,70,100,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.01097209812729702"
L,comb,up_correlated,4,0,2.5,100,140,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.005215052521761365"
L,comb,up_correlated,4,0,2.5,140,200,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.006732871186741199"
L,comb,up_correlated,4,0,2.5,200,300,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.009709030271578245"
L,comb,up_correlated,4,0,2.5,300,600,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.20106709528023373"
L,comb,up_correlated,4,0,2.5,600,1000,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.12350751255371353"
L,comb,up_uncorrelated,5,0,2.5,20,30,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.00907785046040049"
L,comb,up_uncorrelated,5,0,2.5,30,50,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.012411740180272577"
L,comb,up_uncorrelated,5,0,2.5,50,70,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.012264676851788208"
L,comb,up_uncorrelated,5,0,2.5,70,100,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.008549782671232329"
L,comb,up_uncorrelated,5,0,2.5,100,140,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.0032549979095112536"
L,comb,up_uncorrelated,5,0,2.5,140,200,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.0033953430904102226"
L,comb,up_uncorrelated,5,0,2.5,200,300,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.00491960475654118"
L,comb,up_uncorrelated,5,0,2.5,300,600,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))+0.017241863064788705"
