wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,comb,up,4,0,2.5,300,600,0,1,"1.27521*(1.+0.173856*x)/(1.+0.232795*x)+0.36115705677021226"
L,comb,up,4,0,2.5,600,1000,0,1,"1.27521*(1.+0.173856*x)/(1.+0.232795*x)+0.18222947365636283"
L,comb,up_correlated,5,0,2.5,20,30,0,1,"1.27521*(1.+0.173856*x)/(1.+0.232795*x)+0.014243405915617631"
L,comb,up_correlated,5,0,2.5,30,50,0,1,"1.27521*(1.+0.173856*x)/(1.+0.232795*x)+0.013115886781887976"
L,comb,up_correlated,5,0,2.5,50,70,0,1,"1.27521*(1.+0.173856*x)/(1.+0.232795*x)+0.013396062370785949"
L,comb,up_correlated,5,0,2.5,70,100,0,1,"1.27521*(1.+0.173856*x)/(1.+0.232795*x)+0.005972829653363426"
L,comb,up_correlated,5,0,2.5,100,140,0,1,"1.27521*(1.+0.173856*x)/(1.+0.232795*x)+0.00583883026113898"
L,comb,up_correlated,5,0,2.5,140,200,0,1,"1.27521*(1.+0.173856*x)/(1.+0.232795*x)+0.003301938529692288"
L,comb,up_correlated,5,0,2.5,200,300,0,1,"1.27521*(1.+0.173856*x)/(1.+0.232795*x)+0.012469412289519251"
L,comb,up_correlated,5,0,2.5,300,600,0,1,"1.27521*(1.+0.173856*x)/(1.+0.232795*x)+0.13939708315939886"
L,comb,up_correlated,5,0,2.5,600,1000,0,1,"1.27521*(1.+0.173856*x)/(1.+0.232795*x)+0.07174292161283467"
L,comb,up_correlated,4,0,2.5,20,30,0,1,"1.27521*(1.+0.173856*x)/(1.+0.232795*x)+0.035608514789044074"
L,comb,up_correlated,4,0,2.5,30,50,0,1,"1.27521*(1.+0.173856*x)/(1.+0.232795*x)+0.03278971695471994"
L,comb,up_correlated,4,0,2.5,50,70,0,1,"1.27521*(1.+0.173856*x)/(1.+0.232795*x)+0.033490155926964874"
L,comb,up_correlated,4,0,2.5,70,100,0,1,"1.27521*(1.+0.173856*x)/(1.+0.232795*x)+0.014932074133408564"
L,comb,up_correlated,4,0,2.5,100,140,0,1,"1.27521*(1.+0.173856*x)/(1.+0.232795*x)+0.01459707565284745"
L,comb,up_correlated,4,0,2.5,140,200,0,1,"1.27521*(1.+0.173856*x)/(1.+0.232795*x)+0.00825484632423072"
L,comb,up_correlated,4,0,2.5,200,300,0,1,"1.27521*(1.+0.173856*x)/(1.+0.232795*x)+0.03117353072379813"
L,comb,up_correlated,4,0,2.5,300,600,0,1,"1.27521*(1.+0.173856*x)/(1.+0.232795*x)+0.3484927078984972"
L,comb,up_correlated,4,0,2.5,600,1000,0,1,"1.27521*(1.+0.173856*x)/(1.+0.232795*x)+0.1793573040320867"
L,comb,up_uncorrelated,5,0,2.5,20,30,0,1,"1.27521*(1.+0.173856*x)/(1.+0.232795*x)+0.017850658739686547"
L,comb,up_uncorrelated,5,0,2.5,30,50,0,1,"1.27521*(1.+0.173856*x)/(1.+0.232795*x)+0.010359741693203436"
L,comb,up_uncorrelated,5,0,2.5,50,70,0,1,"1.27521*(1.+0.173856*x)/(1.+0.232795*x)+0.013904906634933968"
L,comb,up_uncorrelated,5,0,2.5,70,100,0,1,"1.27521*(1.+0.173856*x)/(1.+0.232795*x)+0.01131448468307227"
L,comb,up_uncorrelated,5,0,2.5,100,140,0,1,"1.27521*(1.+0.173856*x)/(1.+0.232795*x)+0.003845580568880211"
L,comb,up_uncorrelated,5,0,2.5,140,200,0,1,"1.27521*(1.+0.173856*x)/(1.+0.232795*x)+0.005059163466136984"
L,comb,up_uncorrelated,5,0,2.5,200,300,0,1,"1.27521*(1.+0.173856*x)/(1.+0.232795*x)+0.016824432330304635"
L,comb,up_uncorrelated,5,0,2.5,300,600,0,1,"1.27521*(1.+0.173856*x)/(1.+0.232795*x)+0.03792044766928803"
L,comb,up_uncorrelated,5,0,2.5,600,1000,0,1,"1.27521*(1.+0.173856*x)/(1.+0.232795*x)+0.012890545741226962"
L,comb,up_uncorrelated,4,0,2.5,20,30,0,1,"1.27521*(1.+0.173856*x)/(1.+0.232795*x)+0.04462664684921637"
L,comb,up_uncorrelated,4,0,2.5,30,50,0,1,"1.27521*(1.+0.173856*x)/(1.+0.232795*x)+0.02589935423300859"
