wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,wc,central,4,0,2.4,25.0,30.0,0,1,0.962191585229908
L,wc,central,4,0,2.4,30.0,40.0,0,1,0.9591123942911909
L,wc,central,4,0,2.4,40.0,60.0,0,1,0.9785191765839113
L,wc,central,4,0,2.4,60.0,80.0,0,1,0.994745069428559
L,wc,central,4,0,2.4,80.0,140.0,0,1,0.9863282347116377
L,wc,central,4,0,2.4,140.0,200.0,0,1,1.0162637636109109
L,wc,up_stat,4,0,2.4,25.0,30.0,0,1,0.9790891372199481
L,wc,up_stat,4,0,2.4,30.0,40.0,0,1,0.9711765772473108
L,wc,up_stat,4,0,2.4,40.0,60.0,0,1,0.9897419228770038
L,wc,up_stat,4,0,2.4,60.0,80.0,0,1,1.0113253233993176
L,wc,up_stat,4,0,2.4,80.0,140.0,0,1,1.0078161139016857
L,wc,up_stat,4,0,2.4,140.0,200.0,0,1,1.1077831860483087
L,wc,down_stat,4,0,2.4,25.0,30.0,0,1,0.945583954620127
L,wc,down_stat,4,0,2.4,30.0,40.0,0,1,0.9471974350368454
L,wc,down_stat,4,0,2.4,40.0,60.0,0,1,0.9674231671264752
L,wc,down_stat,4,0,2.4,60.0,80.0,0,1,0.9784348487805697
L,wc,down_stat,4,0,2.4,80.0,140.0,0,1,0.9652946300929761
L,wc,down_stat,4,0,2.4,140.0,200.0,0,1,0.9320883261139901
L,wc,up_syst,4,0,2.4,25.0,30.0,0,1,0.9722086810780618
L,wc,up_syst,4,0,2.4,30.0,40.0,0,1,0.966267081271667
L,wc,up_syst,4,0,2.4,40.0,60.0,0,1,0.9860595034848715
L,wc,up_syst,4,0,2.4,60.0,80.0,0,1,1.0056032977671125
L,wc,up_syst,4,0,2.4,80.0,140.0,0,1,0.9962278206359844
L,wc,up_syst,4,0,2.4,140.0,200.0,0,1,1.0418983157958355
L,wc,down_syst,4,0,2.4,25.0,30.0,0,1,0.9395817546347344
L,wc,down_syst,4,0,2.4,30.0,40.0,0,1,0.9529614012633918
L,wc,down_syst,4,0,2.4,40.0,60.0,0,1,0.9711054033671822
L,wc,down_syst,4,0,2.4,60.0,80.0,0,1,0.9849709088365536
L,wc,down_syst,4,0,2.4,80.0,140.0,0,1,0.9737144446053944
L,wc,down_syst,4,0,2.4,140.0,200.0,0,1,1.0000001601893216
M,wc,central,4,0,2.4,25.0,30.0,0,1,0.9650733050554365
M,wc,central,4,0,2.4,30.0,40.0,0,1,0.959580047543973
M,wc,central,4,0,2.4,40.0,60.0,0,1,0.9766111534171104
M,wc,central,4,0,2.4,60.0,80.0,0,1,0.9733998736750782
M,wc,central,4,0,2.4,80.0,140.0,0,1,0.9780829977581169
M,wc,central,4,0,2.4,140.0,200.0,0,1,0.9293531131162784
M,wc,up_stat,4,0,2.4,25.0,30.0,0,1,0.9889000298541317
M,wc,up_stat,4,0,2.4,30.0,40.0,0,1,0.976430542376094
M,wc,up_stat,4,0,2.4,40.0,60.0,0,1,0.9919976485306238
M,wc,up_stat,4,0,2.4,60.0,80.0,0,1,0.9955059687773274
M,wc,up_stat,4,0,2.4,80.0,140.0,0,1,1.008800455009421
M,wc,up_stat,4,0,2.4,140.0,200.0,0,1,1.0401407325505208
M,wc,down_stat,4,0,2.4,25.0,30.0,0,1,0.9418166856502703
M,wc,down_stat,4,0,2.4,30.0,40.0,0,1,0.943018762815742
M,wc,down_stat,4,0,2.4,40.0,60.0,0,1,0.9614621152769071
M,wc,down_stat,4,0,2.4,60.0,80.0,0,1,0.9517805460002188
M,wc,down_stat,4,0,2.4,80.0,140.0,0,1,0.9482910676129918
M,wc,down_stat,4,0,2.4,140.0,200.0,0,1,0.8299371343101042
M,wc,up_syst,4,0,2.4,25.0,30.0,0,1,0.9783981500526341
M,wc,up_syst,4,0,2.4,30.0,40.0,0,1,0.9671359429571194
M,wc,up_syst,4,0,2.4,40.0,60.0,0,1,0.9861533736062723
M,wc,up_syst,4,0,2.4,60.0,80.0,0,1,0.9889317156907667
M,wc,up_syst,4,0,2.4,80.0,140.0,0,1,0.9893942345860668
M,wc,up_syst,4,0,2.4,140.0,200.0,0,1,1.0000882338256447
M,wc,down_syst,4,0,2.4,25.0,30.0,0,1,0.9439484059707777
M,wc,down_syst,4,0,2.4,30.0,40.0,0,1,0.9518368944543311
M,wc,down_syst,4,0,2.4,40.0,60.0,0,1,0.9643347509859114
M,wc,down_syst,4,0,2.4,60.0,80.0,0,1,0.9609757910217186
M,wc,down_syst,4,0,2.4,80.0,140.0,0,1,0.9435882397026457
M,wc,down_syst,4,0,2.4,140.0,200.0,0,1,0.8801976740680028
T,wc,central,4,0,2.4,25.0,30.0,0,1,0.9857297819540232
T,wc,central,4,0,2.4,30.0,40.0,0,1,0.9559801214253691
T,wc,central,4,0,2.4,40.0,60.0,0,1,0.9676745756028663
T,wc,central,4,0,2.4,60.0,80.0,0,1,0.9572055045489287
T,wc,central,4,0,2.4,80.0,140.0,0,1,0.992754804847086
T,wc,central,4,0,2.4,140.0,200.0,0,1,1.0266434263164053
T,wc,up_stat,4,0,2.4,25.0,30.0,0,1,1.0173736357176313
T,wc,up_stat,4,0,2.4,30.0,40.0,0,1,0.9780749247475597
T,wc,up_stat,4,0,2.4,40.0,60.0,0,1,0.9870500599148384
T,wc,up_stat,4,0,2.4,60.0,80.0,0,1,0.985595239673026
T,wc,up_stat,4,0,2.4,80.0,140.0,0,1,1.0343227538657147
T,wc,up_stat,4,0,2.4,140.0,200.0,0,1,1.189787695411265
T,wc,down_stat,4,0,2.4,25.0,30.0,0,1,0.9550609174335873
T,wc,down_stat,4,0,2.4,30.0,40.0,0,1,0.93438065352253
T,wc,down_stat,4,0,2.4,40.0,60.0,0,1,0.9486769844388528
T,wc,down_stat,4,0,2.4,60.0,80.0,0,1,0.9296254741137582
T,wc,down_stat,4,0,2.4,80.0,140.0,0,1,0.9528373981884506
T,wc,down_stat,4,0,2.4,140.0,200.0,0,1,0.885085235795297
T,wc,up_syst,4,0,2.4,25.0,30.0,0,1,1.0083423712003308
T,wc,up_syst,4,0,2.4,30.0,40.0,0,1,0.9702671249410909
T,wc,up_syst,4,0,2.4,40.0,60.0,0,1,0.9744826244122325
T,wc,up_syst,4,0,2.4,60.0,80.0,0,1,0.9755916607472173
T,wc,up_syst,4,0,2.4,80.0,140.0,0,1,1.0124412109772438
T,wc,up_syst,4,0,2.4,140.0,200.0,0,1,1.1591313613363787
T,wc,down_syst,4,0,2.4,25.0,30.0,0,1,0.9441203291959169
T,wc,down_syst,4,0,2.4,30.0,40.0,0,1,0.9438872220460327
T,wc,down_syst,4,0,2.4,40.0,60.0,0,1,0.9507964000989155
T,wc,down_syst,4,0,2.4,60.0,80.0,0,1,0.9460487867668149
T,wc,down_syst,4,0,2.4,80.0,140.0,0,1,0.9550054748573189
T,wc,down_syst,4,0,2.4,140.0,200.0,0,1,0.9119788843313987
XT,wc,central,4,0,2.4,25.0,30.0,0,1,0.9813132568784919
XT,wc,central,4,0,2.4,30.0,40.0,0,1,0.9372801231525254
